EO #,Title,URL,Date Signed,Date Published,FR Citation,FR Doc Number
EO 14274,Restoring Common Sense to Federal Office Space Management,https://www.federalregister.gov/documents/2025/04/18/2025-06838/restoring-common-sense-to-federal-office-space-management,2025-04-15,2025-04-18,90 FR 16445,2025-06838
EO 14273,Lowering Drug Prices by Once Again Putting Americans First,https://www.federalregister.gov/documents/2025/04/18/2025-06837/lowering-drug-prices-by-once-again-putting-americans-first,2025-04-15,2025-04-18,90 FR 16441,2025-06837
EO 14272,Ensuring National Security and Economic Resilience Through Section 232 Actions on Processed Critical Minerals and Derivative Products,https://www.federalregister.gov/documents/2025/04/18/2025-06836/ensuring-national-security-and-economic-resilience-through-section-232-actions-on-processed-critical,2025-04-15,2025-04-18,90 FR 16437,2025-06836
EO 14271,"Ensuring Commercial, Cost-Effective Solutions in Federal Contracts",https://www.federalregister.gov/documents/2025/04/18/2025-06835/ensuring-commercial-cost-effective-solutions-in-federal-contracts,2025-04-15,2025-04-18,90 FR 16433,2025-06835
EO 14270,Zero-Based Regulatory Budgeting To Unleash American Energy,https://www.federalregister.gov/documents/2025/04/15/2025-06466/zero-based-regulatory-budgeting-to-unleash-american-energy,2025-04-09,2025-04-15,90 FR 15643,2025-06466
EO 14269,Restoring America's Maritime Dominance,https://www.federalregister.gov/documents/2025/04/15/2025-06465/restoring-americas-maritime-dominance,2025-04-09,2025-04-15,90 FR 15635,2025-06465
EO 14268,Reforming Foreign Defense Sales To Improve Speed and Accountability,https://www.federalregister.gov/documents/2025/04/15/2025-06464/reforming-foreign-defense-sales-to-improve-speed-and-accountability,2025-04-09,2025-04-15,90 FR 15631,2025-06464
EO 14267,Reducing Anti-Competitive Regulatory Barriers,https://www.federalregister.gov/documents/2025/04/15/2025-06463/reducing-anti-competitive-regulatory-barriers,2025-04-09,2025-04-15,90 FR 15629,2025-06463
EO 14266,Modifying Reciprocal Tariff Rates To Reflect Trading Partner Retaliation and Alignment,https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,2025-04-09,2025-04-15,90 FR 15625,2025-06462
EO 14265,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base,https://www.federalregister.gov/documents/2025/04/15/2025-06461/modernizing-defense-acquisitions-and-spurring-innovation-in-the-defense-industrial-base,2025-04-09,2025-04-15,90 FR 15621,2025-06461
EO 14264,Maintaining Acceptable Water Pressure in Showerheads,https://www.federalregister.gov/documents/2025/04/15/2025-06459/maintaining-acceptable-water-pressure-in-showerheads,2025-04-09,2025-04-15,90 FR 15619,2025-06459
EO 14263,Addressing Risks From Susman Godfrey,https://www.federalregister.gov/documents/2025/04/15/2025-06458/addressing-risks-from-susman-godfrey,2025-04-09,2025-04-15,90 FR 15615,2025-06458
EO 14262,Strengthening the Reliability and Security of the United States Electric Grid,https://www.federalregister.gov/documents/2025/04/14/2025-06381/strengthening-the-reliability-and-security-of-the-united-states-electric-grid,2025-04-08,2025-04-14,90 FR 15521,2025-06381
EO 14261,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241,https://www.federalregister.gov/documents/2025/04/14/2025-06380/reinvigorating-americas-beautiful-clean-coal-industry-and-amending-executive-order-14241,2025-04-08,2025-04-14,90 FR 15517,2025-06380
EO 14260,Protecting American Energy From State Overreach,https://www.federalregister.gov/documents/2025/04/14/2025-06379/protecting-american-energy-from-state-overreach,2025-04-08,2025-04-14,90 FR 15513,2025-06379
EO 14259,Amendment to Reciprocal Tariffs and Updated Duties as Applied to Low-Value Imports From the People's Republic of China,https://www.federalregister.gov/documents/2025/04/14/2025-06378/amendment-to-reciprocal-tariffs-and-updated-duties-as-applied-to-low-value-imports-from-the-peoples,2025-04-08,2025-04-14,90 FR 15509,2025-06378
EO 14258,Extending the TikTok Enforcement Delay,https://www.federalregister.gov/documents/2025/04/09/2025-06162/extending-the-tiktok-enforcement-delay,2025-04-04,2025-04-09,90 FR 15209,2025-06162
EO 14257,Regulating Imports With a Reciprocal Tariff To Rectify Trade Practices That Contribute to Large and Persistent Annual United States Goods Trade Deficits,https://www.federalregister.gov/documents/2025/04/07/2025-06063/regulating-imports-with-a-reciprocal-tariff-to-rectify-trade-practices-that-contribute-to-large-and,2025-04-02,2025-04-07,90 FR 15041,2025-06063
EO 14256,Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China as Applied to Low-Value Imports,https://www.federalregister.gov/documents/2025/04/07/2025-06027/further-amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of,2025-04-02,2025-04-07,90 FR 14899,2025-06027
EO 14255,Establishing the United States Investment Accelerator,https://www.federalregister.gov/documents/2025/04/03/2025-05908/establishing-the-united-states-investment-accelerator,2025-03-31,2025-04-03,90 FR 14701,2025-05908
EO 14254,Combating Unfair Practices in the Live Entertainment Market,https://www.federalregister.gov/documents/2025/04/03/2025-05906/combating-unfair-practices-in-the-live-entertainment-market,2025-03-31,2025-04-03,90 FR 14699,2025-05906
EO 14253,Restoring Truth and Sanity to American History,https://www.federalregister.gov/documents/2025/04/03/2025-05838/restoring-truth-and-sanity-to-american-history,2025-03-27,2025-04-03,90 FR 14563,2025-05838
EO 14252,Making the District of Columbia Safe and Beautiful,https://www.federalregister.gov/documents/2025/04/03/2025-05837/making-the-district-of-columbia-safe-and-beautiful,2025-03-27,2025-04-03,90 FR 14559,2025-05837
EO 14251,Exclusions From Federal Labor-Management Relations Programs,https://www.federalregister.gov/documents/2025/04/03/2025-05836/exclusions-from-federal-labor-management-relations-programs,2025-03-27,2025-04-03,90 FR 14553,2025-05836
EO 14250,Addressing Risks From WilmerHale,https://www.federalregister.gov/documents/2025/04/03/2025-05845/addressing-risks-from-wilmerhale,2025-03-27,2025-04-03,90 FR 14549,2025-05845
EO 14249,"Protecting America's Bank Account Against Fraud, Waste, and Abuse",https://www.federalregister.gov/documents/2025/03/28/2025-05524/protecting-americas-bank-account-against-fraud-waste-and-abuse,2025-03-25,2025-03-28,90 FR 14011,2025-05524
EO 14248,Preserving and Protecting the Integrity of American Elections,https://www.federalregister.gov/documents/2025/03/28/2025-05523/preserving-and-protecting-the-integrity-of-american-elections,2025-03-25,2025-03-28,90 FR 14005,2025-05523
EO 14247,Modernizing Payments To and From America's Bank Account,https://www.federalregister.gov/documents/2025/03/28/2025-05522/modernizing-payments-to-and-from-americas-bank-account,2025-03-25,2025-03-28,90 FR 14001,2025-05522
EO 14246,Addressing Risks From Jenner & Block,https://www.federalregister.gov/documents/2025/03/28/2025-05519/addressing-risks-from-jenner-and-block,2025-03-25,2025-03-28,90 FR 13997,2025-05519
EO 14245,Imposing Tariffs on Countries Importing Venezuelan Oil,https://www.federalregister.gov/documents/2025/03/27/2025-05440/imposing-tariffs-on-countries-importing-venezuelan-oil,2025-03-24,2025-03-27,90 FR 13829,2025-05440
